Prompt;Response;Ground Truth
"Death of a Dude
Death of a Dude is a Nero Wolfe detective novel by Rex Stout, published by the Viking Press in 1969.

Who died later, A. V. Aryan or Sadie Heath Cabaniss?";A.V. Aryan.;A. V. Aryan
"Kab? Kyoon? Aur Kahan?
Kab? Kyoon? Aur Kahan? is a 1970 Bollywood mystery film directed by Arjun Hingorani. The film stars Dharmendra, Babita and Pran. It is inspired by the French classic film Les Diaboliques( film)( 1955), including the bathtub scene.

Which film was released earlier, Son Contento or Tadbir?";Son Contento.;Tadbir
"Spectre (2015 film)
A sequel to Spectre will begin development in spring 2016. Sam Mendes has stated he will not return to direct the next 007 film. Christoph Waltz has signed on for two more films in the series, but his return depends on whether or not Craig will again portray Bond.

Which film has the director who is older than the other, Chinese In Paris or March Of The Penguins? ";March Of The Penguins;Chinese In Paris
"Could This Be Love?
Could This Be Love? (French title: Je crois que je l'aime) is a 2007 French comedy film directed by Pierre Jolivet.

Who is the spouse of the director of film Marie-Jo And Her Two Lovers?";Marina Fois.;Ariane Ascaride
"Johanna of Hanau-Lichtenberg, Countess of Eberstein
Johanna of Hanau-Lichtenberg, Countess of Eberstein (1507 – 27 January 1572) was a German noblewoman, the eldest daughter of Philipp III, Count of Hanau-Lichtenberg (18 October 1482 – 15 May 1538) and Margravine Sibylle of Baden (26 April 1485 – 10 July 1518).

Where was the place of death of Johanna Sibylla Of Hanau-Lichtenberg's mother?";Baden-Baden.;Bouxwiller
"Pump Up the Volume
Pump Up the Volume may refer to:

Who is the spouse of the performer of song Pump-Pump?";Heather McNair.;Eva-Riitta Siitonen
"George Kurdahi
George Kurdahi (born May 1, 1950 in Faitroun, Lebanon) is a Lebanese TV presenter and ex-host of the Arabic version of Who Wants to Be a Millionaire?.

Who was born first out of Marie Agba-Otikpo and Mariam El-Masri?";Marie Agba-Otikpo;Marie Agba-Otikpo
"What Ever Happened to Baby Jane? (film)
Academy Award for Best Actress (Bette Davis, nominee) Academy Award for Best Actor in a Supporting Role (Victor Buono, nominee) Academy Award for Best Costume Design, Black and White (Norma Koch, winner) Academy Award for Best Cinematography, Black and White (Ernest Haller, nominee) Academy Award for Best Sound (Joseph D. Kelly, nominee) BAFTA Award for Best Foreign Actress (Crawford, nominee) BAFTA Award for Best Foreign Actress (Davis, nominee) Golden Globe Award for Best Actress - Motion Picture Drama (Davis, nominee) Golden Globe Award for Best Supporting Actor - Motion Picture (Buono, nominee) Laurel Award for Golden Laurel for Sleeper of the Year (Winner) Golden Palm -- 1963 Cannes Film Festival (nominee)

Who is the father of the director of film Little Joe (Film)?";John Huston.;Rudolf Hausner
"Six Dance Lessons in Six Weeks
Six Dance Lessons in Six Weeks is a 2001 play by American playwright Richard Alfieri. It is a play with only two characters: Lily Harrison, the formidable widow of a Baptist minister, and Michael Minetti, a gay and acerbic dance instructor hired to give her dancing lessons. It premiered at the Geffen Playhouse in Los Angeles (with Uta Hagen and David Hyde Pierce in its two roles) before moving to Broadway. It has gone on to performances in 24 countries and been translated into 14 languages.

Are Six Dance Lessons In Six Weeks (Film) and Article 99 both from the same country?";No.;no
"Murder in the Blue Room
Murder in the Blue Room is a 1944 American film directed by Leslie Goodwins. It is the second remake of the 1933 American Pre- Code murder- mystery film"" Secret of the Blue Room,"" the first being Universal's 1938 remake,"" The Missing Guest."" Faithful to the original plot,"" Murder in the Blue Room"" plays up the comedy with songs. The plot is based on the 1932 German film"" Secret of the Blue Room"".

Which film has the director born later, The Secret Of The Blue Room or The Star Chamber?";The Star Chamber.;The Star Chamber
"Kab? Kyoon? Aur Kahan?
Kab? Kyoon? Aur Kahan? is a 1970 Bollywood mystery film directed by Arjun Hingorani. The film stars Dharmendra, Babita and Pran. It is inspired by the French classic film Les Diaboliques (film) (1955), including the bathtub scene.

Which film has the director who died later, Swarg Narak or Antardhan?";Swarg Narak;Swarg Narak
"House full
House Full or Housefull may refer to:

Which film has the producer who was born earlier, Term Life or Housefull 2?";Term Life;Housefull 2
"Prem Mayee
Prem Mayee is a film about a woman, who takes way too long to realize who she really is and what is it that she wants from love, life and marriage.

Which film was released more recently, Marriage License? or Maalgudi Days?";Maalgudi Days.;Maalgudi Days
"Steven Spielberg
Spielberg won the Academy Award for Best Director for Schindler's List (1993) and Saving Private Ryan (1998). Three of Spielberg's films—Jaws (1975), E.T. the Extra-Terrestrial (1982), and Jurassic Park (1993)—achieved box office records, originated and came to epitomize the blockbuster film. The unadjusted gross of all Spielberg-directed films exceeds $9 billion worldwide, making him the highest-grossing director in history. His personal net worth is estimated to be more than $3 billion. He has been associated with composer John Williams since 1974, who composed music for all save five of Spielberg's feature films.

Which film whose director was born first, Sword Of The Empire or Seven Guns For Timothy?";Sword Of The Empire.;Sword Of The Empire
"Spectre (2015 film)
A sequel to Spectre will begin development in spring 2016. Sam Mendes has stated he will not return to direct the next 007 film. Christoph Waltz has signed on for two more films in the series, but his return depends on whether or not Craig will again portray Bond.

Which film has the director who died later, The Mystic Masseur or Butter Fingers?";The Mystic Masseur;The Mystic Masseur
"John, Landgrave of Lower Hesse
Landgrave John of Lower Hesse (c. 1278 – 14 February 1311) was a son of Landgrave Henry I of Hesse, from his second marriage with Mechthild of Cleves. John reigned from 1308 to 1311 as Landgrave in Lower Hesse.

Who is John Of Hesse-Braubach's co-husband?";Mechthild of Cleves;John George I, Duke of Saxe-Eisenach
"All for Love
All for Love may refer to:

Where does the director of film All For Love (2012 Film) work at?";All for Love (2012 Film) director is Workpoint Entertainment.;China University of Political Science and Law
"Ashokan (film director)
Raman Ashok Kumar, better known as Ashokan, is a filmmaker from Kerala, India. He mastered the skills in directing feature films during his seven- year tutelage with the renowned Indian film director Sasi Kumar.

Which film was released more recently, The Master Man or Ashokavanam?";Ashokavanam;Ashokavanam
"Spectre (2015 film)
A sequel to Spectre will begin development in spring 2016. Sam Mendes has stated he will not return to direct the next 007 film. Christoph Waltz has signed on for two more films in the series, but his return depends on whether or not Craig will again portray Bond.

Which film has the director died later, Rhythm In The Clouds or September Affair?";Rhythm In The Clouds.;Rhythm In The Clouds
"Nebet (queen)
Nebet was an Egyptian Queen, the wife of King Unas. She lived during the time of the Fifth dynasty of Egypt. She is held the mother of the Crown Prince Unas- ankh, though this fact is disputed. In addition to Unas Anch, Nebet may also be the mother of Khentkaues, Neferut, and Nefertkaues.

Where was the place of burial of Nebetah's mother?";Saqqara;KV35
"Álvaro of Lencastre, 3rd Duke of Aveiro
Álvaro of Lencastre( 1540 – 1626) was the son of Afonso of Lencastre, second son of infante George of Lencastre, 2nd Duke of Coimbra.

Where was the place of death of George Of Lencastre, 2Nd Duke Of Aveiro's father?";Santarém.;Coimbra
"Duchess Louise Charlotte of Mecklenburg-Schwerin
Duchess Louise Charlotte of Mecklenburg- Schwerin( 19 November 1779 – 4 January 1801) was the maternal grandmother of Prince Albert, husband of Queen Victoria of the United Kingdom. Louise Charlotte was born Duchess of Mecklenburg- Schwerin, her father being Friedrich Franz I, Grand Duke of Mecklenburg- Schwerin. Her mother was Princess Louise of Saxe- Gotha- Altenburg; her sister Charlotte of Mecklenburg- Schwerin( 1784–1840) married King Christian VIII of Denmark.

Who is Duchess Marie Louise Of Mecklenburg-Schwerin's paternal grandfather?";Friedrich Franz I;Frederick Francis I, Grand Duke of Mecklenburg-Schwerin
"List of the verified oldest people
This is a list of the 100 verified oldest people. The oldest verified person on record is French woman Jeanne Calment (1875 -- 1997), who lived to the age of 122 years, 164 days. There are seven verified living supercentenarians on this list, the oldest of whom is Japanese woman Nabi Tajima, aged 7004428720000000000 ♠ 117 years, 138 days.

Who lived longer, Lydia Knott or Maria Dulębianka?";Lydia Knott.;Lydia Knott
"Princess Alia bint Hussein
Princess Alia bint Hussein( born 13 February 1956) is the eldest child of King Hussein of Jordan from his first wife, Sharifa Dina bint Abdul- Hamid.

What is the place of birth of Princess Raiyah Bint Hussein's father?";Amman, Jordan.;Amman
"The Film That Changed My Life
The Film That Changed My Life( also known as"" The Film That Changed My Life: 30 Directors on Their Epiphanies in the Dark"") is a non-fiction collection of interviews compiled by American journalist, author and film columnist Robert K. Elder. The book presents interviews with thirty famous directors who share stories about the movies that affected their career paths and directing styles.

Which film has the director who is older, The Gentle Sex or The Searchers?";The Gentle Sex;The Gentle Sex
"Zone of the Dead
Zone of the Dead, also known as Apocalypse of the Dead is a 2009 Serbian horror film directed by Milan Konjević and Milan Todorović. It stars Ken Foree.

Where did the director of film Torrid Zone die?";The director is still alive.;New York
"Seymour High School (Indiana)
Seymour High School is a public high school in Seymour, Indiana. It is the only high school in the Seymour Community Schools district.

What nationality is Horace Seymour's father?";American.;Great Britain
"You Gave Me a Mountain
``You Gave Me a Mountain ''(sometimes credited as`` Lord, You Gave Me a Mountain'') is a song written by country singer - songwriter Marty Robbins during the 1960s. It has been recorded by many artists, including Robbins himself, but the highest - charting version of the song was by Frankie Laine in 1969. This version was included on Laine's album of the same name.

Which country the performer of song That'S Good, That'S Bad (Frankie Laine Song) is from?";USA;America
"Mike Post
Mike Post (born Leland Michael Postil, September 29, 1944) is an American composer, best known for his TV theme songs for such series as Law & Order, Law & Order: SVU, The A-Team, NYPD Blue, Renegade, The Rockford Files, L.A. Law, Quantum Leap, Magnum, P.I., and Hill Street Blues.

Where was the composer of film Post Master born?";September 29, 1944;Karnataka
"Gustaf Retzius
Prof Magnus Gustaf( or Gustav) Retzius FRSFor HFRSE MSA( 17 October 1842 – 21 July 1919) was a Swedish physician and anatomist who dedicated a large part of his life to researching the histology of the sense organs and nervous system.

Where was the place of death of Carl Gustaf Creutz's father?";Livojärvi;Öland
"Ragnar Bragason
Ragnar Bragason( born 15 September 1971) is an Icelandic film director, screenwriter and producer.

Where was the director of film Outlaw: The Saga Of Gisli born?";Iceland.;Reykjavík
"Ermengard of Italy
Ermengard of Italy, also"" ErmengardaErmengarde"", or"" Irmingard""( 852/855 – 897) was a queen and regent of Provence. She was the only surviving daughter of Louis II, Holy Roman Emperor.

Who is Ermengarde Of Tuscany's paternal grandfather?";Lothair I;Adalbert I, Margrave of Tuscany
"Catherine Pirotta
Catherine Pirotta is a Peruvian director, producer and screenwriter.

Which country the director of film Ata Pata Laapata is from?";India;Indian
"Francisco de Aguirre (conquistador)
Francisco de Aguirre( 1507 – 1581) was a Spanish conquistador who participated in the conquest of Peru, Bolivia, Chile and Argentina.

Where was the wife of Jesús Aguirre born?";Spain.;Liria Palace
"Princess Louise of Denmark (1750–1831)
Princess Louise of Denmark and Norway  (20 January 1750 – 12 January 1831) was born to Frederick V of Denmark and Louise of Great Britain. Her eldest daughter, Marie of Hesse-Kassel, was the wife of Frederick VI of Denmark.

Who is the paternal grandmother of Princess Louise Of Denmark (1726–1756)?";Sophia Magdalene of Brandenburg-Kulmbach;Louise of Mecklenburg-Güstrow
"Country Music Association Award for Entertainer of the Year
Country Music Association Award for Entertainer of the Year Country United States Presented by Country Music Association First awarded 1967 Currently held by Garth Brooks (2017)

What is the award that the performer of song In My Mind (Heather Headley Song) got?";Tony Award;Tony Award for Best Actress in a Musical
"𝕊
𝕊 is the blackboard bold “ S ” letter. It can refer to:

Which film has the director died later, El Túnel 6 or A Life At Stake?";A Life At Stake.;El Túnel 6
"List of composers and their preferred lyricists
Most( classical) composers had one or a few lyricists with whom they preferred to work:

What nationality is the composer of song Inescapable (Song)?";Lebanese.;American
"The Rocky Horror Picture Show (soundtrack)
``Hot Patootie - Bless My Soul ''Song by Meat Loaf from the album The Rocky Horror Picture Show Language English Released Songwriter (s) Composer: Richard O'Brien, Richard Hartley Lyricist: Richard O'Brien The Rocky Horror Picture Show track listing`` Science Fiction / Double Feature'' ``Dammit Janet ''`` Over at the Frankenstein Place'' ``Time Warp ''`` Sweet Transvestite'' ``I Can Make You a Man ''`` Hot Patootie - Bless My Soul'' ``I Can Make You a Man (Reprise) ''`` Touch - a, Touch - a, Touch - a, Touch Me'' ``Eddie ''`` Floor Show'' ``Rose Tint My World`` Fanfare / Do n't Dream It ''``Wild and Untamed Thing''`` I'm Going Home ''``Super Heroes''`` Science Fiction / Double Feature (Reprise) ''

Which film was released earlier, Rocky'S Knife or Buscando A Miguel?";Rocky'S Knife;Rocky'S Knife
"As jy sing
As jy sing is an Afrikaans movie released in South Africa on 12 November 2013. The lead roles were played by Bobby van Jaarsveld and Leah van Niekerk. The film did well at the box office and earned 7% more in its opening week than the previous year's hit film, Semi-soet.

Which film whose director is younger, Daar Doer In Die Bosveld or Return Of Halleluja?";Daar Doer In Die Bosveld;Return Of Halleluja
"𝕊
𝕊 is the blackboard bold “ S ” letter. It can refer to:

Where was the place of burial of Adèle Hugo's father?";Paris.;Panthéon
"Prabhakar Sharan
Prabhakar Sharan is the first Indian Latin American Hero who acts in Bollywood & Latin American films.

Where was the father of Prabhu (Actor) born?";Punjab, India;Villupuram
"Princess Katharina of Hohenlohe-Waldenburg-Schillingsfürst
Princess Katharina of Hohenlohe- Waldenburg- Schillingsfürst(( 19 January 1817, Stuttgart – 15 February 1893, Freiburg im Breisgau) was a member of the House of Hohenlohe- Waldenburg- Schillingsfürst by birth and a member of the House of Hohenzollern- Sigmaringen and Princess consort of Hohenzollern- Sigmaringen by marriage.

Who is Princess Franziska Of Hohenlohe-Waldenburg-Schillingsfürst's sibling-in-law?";Princess Katharina of Hohenlohe-Waldenburg-Schillingsfürst's sibling-in-law is Princess Franziska of Hohenzollern-Sigmaringen.;Charles I of Austria
"Biographies of Mozart
Wolfgang Amadeus Mozart died after a short illness on 5 December 1791, aged 35. His reputation as a composer, already strong during his lifetime, rose rapidly in the years after his death, and he became (as he has remained to this day) one of the most celebrated of all composers.

Who lived longer, Gustav Philipp Mörl or Giuseppe Diotti?";Gustav Philipp Mörl.;Gustav Philipp Mörl
"Jan van Huysum
Jan van Huysum, also spelled Huijsum( 15 April 1682 – 8 February 1749), was a Dutch painter.

When did Jacob Van Huysum's father die?";1749;April 23, 1716
"Francis Grenfell
Francis Grenfell may refer to:

Who died later, George Grenfell-Baines or Veit Amerbach?";George Grenfell-Baines.;George Grenfell-Baines
"Jarosław Dąbrowski (film)
Jarosław Dąbrowski is a Polish historical film about Jarosław Dąbrowski. It was released in 1976.

Who lived longer, Andrzej Markowski or François Missoffe?";Andrzej Markowski.;François Missoffe
"Germán Conti
Germán Andrés Conti( born 3 June 1994) is an Argentine professional footballer who plays for Portuguese club Benfica as a centre back.

Who was born earlier, Elmer W. Conti or Seth Joshua?";Elmer W. Conti.;Seth Joshua
"Publius Vitellius the Elder
__NoToC__ Publius Vitellius, grandfather of the emperor Vitellius, was a Roman eques who lived during the time of Augustus. He was a procurator in the time of Augustus.

When was Britannicus's father born?";Publius Vitellius the Elder;1 August 10
"Spectre (2015 film)
A sequel to Spectre will begin development in spring 2016. Sam Mendes has stated he will not return to direct the next 007 film. Christoph Waltz has signed on for two more films in the series, but his return depends on whether or not Craig will again portray Bond.

Which film has the director who is older than the other, Lemming (Film) or Hunger For Love? ";Hunger For Love.;Hunger For Love
"Bimby Aquino Yap
James Aquino Yap (born April 19, 2007), better known as Bimby, and previously known as Baby James Yap, is a Filipino child actor, TV-media personality and the son of Kris Aquino and James Yap. He made his film debut in ""My Little Bossings"" (2013).

Who was born first, João De Aquino or Yacine Slatni?";João De Aquino;João De Aquino
"East Lynne (1922 film)
East Lynne is a 1922 Australian silent film directed by actor and exhibitor Charles Hardy. It was a modern-day adaptation of the famous 1861 novel which had been filmed many times in England and the USA. It is considered a lost film.

Are The Pursuit Of Happiness (1934 Film) and East Lynne (1931 Film) from the same country?";No.;yes
"John O'Hagan
John O'Hagan( born 19 March 1822 at Newry, County Down; died 10 November 1890 at Dublin) was an Irish lawyer and writer. He was also an Irish Nationalist and Younger Irelander, and was a founding member of the first Irish conference of the Society of Saint Vincent de Paul.

Who was born first, Lamine Fomba or Michael Hagan?";Lamine Fomba;Michael Hagan
"Planet of the Apes
Planet of the Apes Created by Pierre Boulle Original work La Planète des singes (1963) Print publications Novel (s) La Planète des singes (1963) Comics List of comics Films and television Film (s) Original series Planet of the Apes (1968) Beneath the Planet of the Apes (1970) Escape from the Planet of the Apes (1971) Conquest of the Planet of the Apes (1972) Battle for the Planet of the Apes (1973) Remake Planet of the Apes (2001) Reboot series Rise of the Planet of the Apes (2011) Dawn of the Planet of the Apes (2014) War for the Planet of the Apes (2017) Television series Planet of the Apes (1974) Return to the Planet of the Apes (1975 -- 1976) Games Video game (s) Planet of the Apes (2001) Revenge of the Apes (2003) Planet of the Apes: Last Frontier (2017)

What is the place of birth of the director of film The New Kids?";USA.;New York
"It Is Never Too Late to Mend
It Is Never Too Late to Mend may refer to:

Which film was released earlier, It'S Never Too Late To Mend or The Bride'S Journey?";It's Never Too Late to Mend.;It'S Never Too Late To Mend
"Henry de Beaumont, 1st Earl of Warwick
Henry de Beaumont, 1st Earl of Warwick or Henry de Newburgh( died 20 June 1119) was a Norman nobleman who rose to great prominence in the Kingdom of England.

What nationality is Henry De Beaumont, 5Th Earl Of Warwick's father?";Norman.;England
"The Marked Woman
The Marked Woman or Marked Woman may refer to:

Who is the spouse of the director of film The Untouched Woman?";Gunvor Nelson.;Käthe von Nagy
"Sällskapsresan
Sällskapsresan eller Finns det svenskt kaffe på grisfesten? is a Swedish comedy film which was released to cinemas in Sweden on 22 August 1980, and the first in a franchise directed by Lasse Åberg. The film has reached cult status in Sweden and a vast number of the Swedish people have seen it, and many of the lines in the movie are known and referenced frequently by many Swedes. It was entered into the 12th Moscow International Film Festival.

Which film has the director who was born later, I'Ll Take Sweden or His Majesty, The American?";His Majesty, The American;I'Ll Take Sweden
"Maria Stark
Hope Davis portrays Maria Stark in Captain America: Civil War. In the film, it shows her death along with her husband's was carried out by the Winter Soldier for Hydra. Producer Kevin Feige revealed that another actress had been cast to appear as the character in Iron Man 3 in a flashback sequence that did not make the final cut of the film.

Where was the place of death of the director of film The Iron Man (Serial)?";Hollywood.;Los Angeles County
"Planet of the Apes
Planet of the Apes Created by Pierre Boulle Original work La Planète des singes (1963) Print publications Novel (s) La Planète des singes (1963) Comics List of comics Films and television Film (s) Original series Planet of the Apes (1968) Beneath the Planet of the Apes (1970) Escape from the Planet of the Apes (1971) Conquest of the Planet of the Apes (1972) Battle for the Planet of the Apes (1973) Remake Planet of the Apes (2001) Reboot series Rise of the Planet of the Apes (2011) Dawn of the Planet of the Apes (2014) War for the Planet of the Apes (2017) Television series Planet of the Apes (1974) Return to the Planet of the Apes (1975 -- 1976) Games Video game (s) Planet of the Apes (2001) Revenge of the Apes (2003) Planet of the Apes: Last Frontier (2017)

What is the place of birth of the director of film Crazy Alien?";China;Taiyuan
"Blanche of Navarre, Countess of Champagne
Blanche of Navarre( ?–1229) was countess and then regent of Champagne and finally also regent of her native kingdom of Navarre. She was the youngest daughter of Sancho VI of Navarre and Sancha of Castile, who died in 1179, about two years after Blanche's birth. Her eldest brother, Sancho VII of Navarre, succeeded their father as King of Navarre and was the last male descendant of the first dynasty of Kings of Navarre, the Pamplona dynasty, dying childless. Her elder sister Berengaria of Navarre married Richard I of England.

Where was the place of death of Sancha Of Castile, Queen Of Navarre's mother?";1179;Palencia
"Shock therapy
Shock therapy or shock treatment may refer to:

Where does the director of film Shock Treatment (1964 Film) work at?";Jim Lyman works at a mental hospital.;San Diego State University
"The Fate of the Furious
Release date April 4, 2017 (2017 - 04 - 04) (Berlin) April 14, 2017 (2017 - 04 - 14) (United States)

Which film has the director who died earlier, Father Makes Good or The Power Of A Lie?";Father Makes Good;The Power Of A Lie
"Rajadi Rajavan
Rajadi Rajavan is a Tamil film directed by T. Rajendar. Silambarasan is also starring in this movie.

Which film came out earlier, Rajapart Rangadurai or At Sword'S Edge?";Rajapart Rangadurai.;At Sword'S Edge
"Sahraa Karimi
Sahraa Karimi( born 1983) is an Afghan film director and the first female chairperson of the Afghan Film Organisation( Afghan Film). She is the first and the only woman in Afghanistan who has a PhD in cinema and filmmaking.

Where did the director of film Saadia (Film) graduate from?";Sahraa Karimi graduated from Slovak Film Academy.;Harvard
"Anand Aur Anand
Anand Aur Anand is a 1984 Indian film, which is most famous for being the debut movie of both Dev Anand's son, Suneil Anand as well as Natasha Sinha and famous playback singer Abhijeet Bhattacharya. It stars Dev Anand along with Suneil Anand, Natasha Sinha, Raakhee, Smita Patil, Raj Babbar, and Biswajeet.

Which film has the director born later, The Last Company or Anand Ashram?";Anand Ashram;Anand Ashram
"Princess Sara bint Asem
Princess Sara bint Asem( born 12 August 1978) is the daughter of Prince Asem bin Nayef and Firouzeh Vokhshouri. Princess Sara's parents divorced in 1985 and in 1986 her father married Sana Kalimat.

Where does Princess Rym Al-Ali's father work at?";Royal Jordanian Airlines;United Nations
"𝕊
𝕊 is the blackboard bold “ S ” letter. It can refer to:

Who was born later, Saulo Torón Navarro or Jim Sterling?";Saulo Torón Navarro;Jim Sterling
"Hal Quick
James Harold Quick( October 4, 1917 – March 9, 1974) nicknamed"" Blondie"", was a shortstop in Major League Baseball who played for the Washington Senators in the 1939 season.

Who is older, Adam Quick or Vicente Costa?";Adam Quick;Vicente Costa
"Nǃai, the Story of a ǃKung Woman
Nǃai, the Story of a ǃKung Woman is a documentary film by ethnographic filmmaker John Marshall. The film was first broadcast in 1980 as part of the Odyssey series on PBS and is distributed by Documentary Educational Resources. It provides a broad overview of Juǀʼhoan life, both past and present, and an intimate portrait of Nǃai, a Juǀʼhoan woman who in 1978 was in her mid-thirties. Nǃai tells her own story, and in so doing, the story of Juǀʼhoan life.

Who was born first, Marie-Eugène De L'Enfant-Jésus or Kenneth Johnson (Filmmaker)?";Marie-Eugène De L'Enfant-Jésus born first.;Marie-Eugène De L'Enfant-Jésus
"Damu
Damu is a god of vegetation and rebirth in Sumerian mythology.

What is the place of birth of Damo (Philosopher)'s father?";Jin.;Samos
"Miguel Contreras Torres
Miguel Contreras Torres( September 28, 1899- June 5, 1981) was a Mexican- born actor, screenwriter, film producer and director.

Which film has the director who is older, Shootin' For Love or The Other Life Of Captain Contreras?";The Other Life Of Captain Contreras.;Shootin' For Love
"RIP?
R.I.P? is 2017 Tamil drama movie from Malaysia. The film written and directed by S.T. Bala. Meanwhile, Suloshna Balan, S. S. Shivajee and Venumathi play th main role. The theme of film is about a meaningful and poignant tale on the ups and downs of life. The film released in Malaysia Cinema on 8 June, meanwhile a special screening were showed on 27 April 2017 at NU Sentral

Which film has the director who died later, Panam Paduthum Padu or Secret Enemies?";Panam Paduthum Padu;Panam Paduthum Padu
"Law of the Border
""Law of the Border"" was the beginning of ""New Cinema"" in Turkey; it was realistic, and focused on social and economic problems and was a 180 turn from the non-realistic movies made in Turkey before it. While not to be placed in the Euro western or spaghetti western categories, the film is along the lines of a western picture.

Do both films, They Didn'T Know and North Of The Border (Film), have the directors who are from the same country?";Yes.;no
"David Barclay (Quaker)
Col. David Barclay (1610 – October 12, 1686), of Mathers, St Cyrus, Kincardineshire in Scotland, was 1st Laird of Urie near Stonehaven, Kincardineshire, Scotland, and father of Robert Barclay, the eminent Quaker apologist.

Which country David Barclay Of Cheapside's father is from?";Scotland.;America
"The Gene Autry Show
The Gene Autry Show is an American western/cowboy television series which aired for 91 episodes on CBS from July 23, 1950 until August 7, 1956, originally sponsored by Wrigley's Doublemint chewing gum.

Which film has the director born later, Gene Autry And The Mounties or Sunday'S Illness?";Sunday's Illness;Sunday'S Illness
"Mike Ballard
Michael Aaron"" Mike"" Ballard( born February 6, 1984) is a former professional baseball pitcher.

What is the place of birth of Bea Ballard's father?";Unknown;Shanghai
"Samurai I: Musashi Miyamoto
The other two films in the trilogy are and.

Which film has the director who died earlier, Love That Brute or Laughing Heirs?";"Drunken Angel and Duel at Ichijoji Temple.
Love That Brute.";Laughing Heirs
"Klaudia Kovács (director)
Klaudia Kovacs is a film & theater director known for her documentary Torn from the Flag.

Who is the spouse of the director of film The Second Awakening Of Christa Klages?";Klaudia Kovács.;Volker Schlöndorff
"Edmund Stafford, 1st Baron Stafford
Edmund de Stafford, 1st Baron Stafford was the son of Nicholas de Stafford, who was summoned to parliament by writ on 6 February 1299 by King Edward I.

Who is the maternal grandfather of Edmund Stafford, 5Th Earl Of Stafford?";Nicholas de Clinton;Thomas de Beauchamp
"Nigel Paulet, 18th Marquess of Winchester
Nigel George Paulet, 18th Marquess of Winchester( born) is a British peer and the premier marquess of England. He succeeded a cousin in the title in 1968. Lord Winchester lives in South Africa.

Who is William Paulet, 4Th Marquess Of Winchester's paternal grandmother?";Dorothy Forester.;Elizabeth Willoughby
"Enrico Leide
Enrico Leide( 1887–1970) was a concert cellist and orchestra conductor, conducting the first Atlanta Symphony Orchestra from 1920 to 1930. He was also music director of the palatial Paramount Theater in Atlanta upon its opening in 1920. He was the brother of violinist and composer Manoah Leide- Tedesco. He was the third husband of Lucy Beall Candler Owens Heinz Leide( 1883- 1962), daughter of Coca- Cola founder Asa Griggs Candler.

Where was the place of burial of Lucy Beall Candler Owens Heinz Leide's father?";Westview Cemetery.;Georgia
"Maya Kenig
Maya Kenig is an Israeli film director, writer and actress. As a director, she is known for In the shade of the palm tree (2018), The Bentwich Syndrome (2015), Off-White Lies (2011) and Top of the world (2005). Her films were awarded in many festivals worldwide. As an editor, she is known for On the spectrum (TV Series, 2018), Uri and Ella (TV Series 2016), Up the wrong tree (Feature film 2012), Connected (TV Series 2009). These days she is writing a script for a feature film Milk which was selected for the Berlinale talent Market 2018 and it won the VFF Talent Highlight Award. As an actress she is known for Around trip (2018), You're Next (2016), A Strange course of events (2014) Up the Wrong Tree (2013), Petah Tiqva (2007).

Where was the director of film Inconceivable (2008 Film) born?";Maya Kenig;Northern Ireland
"Filmfare Award for Best Actor
2016 Ranveer Singh -- Bajirao Mastani as Peshwa Bajirao Amitabh Bachchan - Piku as Bhaskor Banerjee Varun Dhawan -- Badlapur as Raghav 'Raghu' Pratap Singh Ranbir Kapoor -- Tamasha as Ved Vardhan Sahni Salman Khan -- Bajrangi Bhaijaan as Bajrangi Chaturvedi Shah Rukh Khan -- Dilwale as Raj Randhir Bakshi / Kaali

Which film has the director who was born first, Bhavesh Joshi Superhero or Hellboy Ii: The Golden Army?";Bhavesh Joshi Superhero;Hellboy Ii: The Golden Army
"List of most expensive films
Due to the secretive nature of Hollywood accounting it is not clear which film is the most expensive film ever made. Pirates of the Caribbean: On Stranger Tides officially holds the record with a budget of $378.5 million, while The Hobbit trilogy stands as the most expensive back - to - back film production with combined costs of $623 million after tax credits.

Which film has the director who is older, Space Probe Taurus or Tom Mix In Arabia?";Tom Mix In Arabia;Tom Mix In Arabia
"𝕊
𝕊 is the blackboard bold “ S ” letter. It can refer to:

Which country Şehzade Ömer Hilmi's father is from?";Turkey;Ottoman Empire
"Shocking Asia
Shocking Asia is a 1974 mondo documentary film written and directed by Rolf Olsen with Ingeborg Stein Steinbach. The film was banned in Finland due to its graphic content. A sequel titled  was released in 1985.

Which country the director of film Shocking Asia Ii: The Last Taboos is from?";Germany.;Austria
"Evil Bong 2: King Bong
Evil Bong 2: King Bong, (alternate title: Evil Bong 2: Devils Harvest) a 2009 comedy film directed by Charles Band, is the sequel to ""Charles Band's Evil Bong.""

Which film has the director born first, The Bong Connection or The Whole Shootin' Match?";The Whole Shootin' Match;The Whole Shootin' Match
"Find a Way
Find a Way may refer to:

Where was the performer of song Rewind (Find A Way) born?";Chris Brown was born in Tappahannock, Virginia.;Wolverhampton
"Catherine of Thouars
Catherine of Thouars was the daughter of Constance, ""suo jure"" Duchess of Brittany and Countess of Richmond, and her third husband Guy of Thouars. She was the first wife of Andrew III, Baron of Vitré.

Who is Anne De Laval, Viscountess Of Thouars's paternal grandfather?";Guy of Laval;Jean de Laval
